"题目","朝代","作者","内容"
"次林十暮春瑞轩养病即事韵 其一","清末民国初","傅锡祺","半亩庭园点缀新，茅斋暂寄卧云身。燕如相识飞迎客，花正逢时笑向人。梦稳不知蛮触闹，心閒欲与鹭鸥亲。何当笔砚饶馀暇，来共清谈过一春。"
"次林十暮春瑞轩养病即事韵 其二","清末民国初","傅锡祺","万丈红尘不到门，焚香扫地自晨昏。渊明止酒疏三雅，孝肃閒居占一墩。百啭莺声穿柳细，四围花气扑帘温。个中清福供消受，无事寻春过别园。"
"次林十暮春瑞轩养病即事韵","清末民国初","傅锡祺","门前合榜浣花居，中有逋仙隐草庐。折柬径招嵇阮侣，踞床閒读汉唐书。雕龙稷下谈犹壮，走马章台迹渐疏。好事三三眉样月，窥窗早趁上灯初。"
"伍员","清末民国初","傅锡祺","死谏难争战胜骄，沼吴千载恨难消。东门双眼如长在，痛阅兴亡又几朝。"
"闻法夷夺踞台湾鸡笼炮台感愤有作","清末民国初","赵藩","象郡正愁瓯脱坏，鸡笼又失炮台高。射潮往事空强弩，横海威名盼大刀。和战庙堂方水火，悲歌天地尽风涛。弃繻请剑都无分，落日登楼首重搔。"
"书台北事","清末民国初","樊增祥","堂堂幕府即离宫，坐踞三貂气势雄。岂谓解元唐伯虎，不如残寇郑芝龙。蜉蝣天地波涛里，蝼蚁君臣梦寐中。十日台疆作天子，凝旒南面太匆匆。"
"晓起散策","清末民国初","谢汝铨","晓起出门行，逍遥步紫陌。冷风吹葛衣，凉露湿桐屐。炊烟绕树青，流水护田碧。戍垒角声催，前溪人语隔。寻芳过竹桥，觅句蹲苔石。数里足忘疲，终朝情自怿。壮犹不如人，心苦为形役。有钱须买山，结构幽人宅。"
"秋日书怀之ㄧ","清末民国初","许南英","西风萧瑟恼人天，独客他乡更悄然。松菊已荒三径外，沧桑顿变廿年前。漫云归里如元亮，且自登楼效仲宣。珍重秋鸿传数字，平安为寄美江边。"
"秋日书怀 其二","清末民国初","许南英","我似秋风扇见捐，归来暂作小游仙。浑如挂锡僧栖止，幸有论诗客至前。有信忽惊看过雁，不鸣自分作寒蝉。新霜与汝干何事，尽日飞来两鬓边。"
"徐福","清末民国初","许南英","五百童男女，楼船东复东。神仙原渺渺，方士竟匆匆。留种能开国，藏书亦见功。墓门在何处，翘首海暾红。"
